Baudrate,9600
Anzahl_der_geraete,1
Anzahl_der_Boards,8
Widerstaende_pro_Board,2
Gefundene_Geraete
/dev/ttyUSB0,Keithley: MODEL 2700,7700,7700
Zeit,Board Nr,Widerstand Nr,Port,Kannal,Temperatur True/False,Sensor,Gemessener Widerstand,Temperaturwert
0.0,1,1,/dev/ttyUSB0,101,True,PT100,108.07,20.71
1.5,1,2,/dev/ttyUSB0,102,False,False,1.6,False
3.0,2,1,/dev/ttyUSB0,103,True,PT100,108.04,20.63
4.51,2,2,/dev/ttyUSB0,104,False,False,2.68,False
6.01,3,1,/dev/ttyUSB0,105,False,False,1.65,False
7.51,3,2,/dev/ttyUSB0,106,True,PT100,108.19,21.02
9.02,4,1,/dev/ttyUSB0,107,True,PT100,108.04,20.63
10.52,4,2,/dev/ttyUSB0,108,False,False,2.91,False
12.03,5,1,/dev/ttyUSB0,109,True,PT100,108.04,20.63
13.53,5,2,/dev/ttyUSB0,110,False,False,1.4,False
15.03,6,1,/dev/ttyUSB0,201,True,PT100,108.04,20.63
16.54,6,2,/dev/ttyUSB0,202,False,False,2.09,False
18.04,7,1,/dev/ttyUSB0,203,True,PT100,108.07,20.71
19.55,7,2,/dev/ttyUSB0,204,False,False,1.55,False
21.05,8,1,/dev/ttyUSB0,205,True,PT100,108.0,20.53
22.55,8,2,/dev/ttyUSB0,206,False,False,2.39,False
144.08,1,1,/dev/ttyUSB0,101,True,PT100,108.5,21.82
145.58,1,2,/dev/ttyUSB0,102,False,False,1.61,False
147.08,2,1,/dev/ttyUSB0,103,True,PT100,108.48,21.77
148.59,2,2,/dev/ttyUSB0,104,False,False,2.68,False
150.09,3,1,/dev/ttyUSB0,105,False,False,1.65,False
151.59,3,2,/dev/ttyUSB0,106,True,PT100,108.62,22.13
153.1,4,1,/dev/ttyUSB0,107,True,PT100,108.39,21.54
154.6,4,2,/dev/ttyUSB0,108,False,False,2.92,False
156.11,5,1,/dev/ttyUSB0,109,True,PT100,108.44,21.66
157.61,5,2,/dev/ttyUSB0,110,False,False,1.41,False
159.12,6,1,/dev/ttyUSB0,201,True,PT100,108.45,21.69
160.62,6,2,/dev/ttyUSB0,202,False,False,2.09,False
162.12,7,1,/dev/ttyUSB0,203,True,PT100,108.59,22.05
163.63,7,2,/dev/ttyUSB0,204,False,False,1.56,False
165.13,8,1,/dev/ttyUSB0,205,True,PT100,108.57,22.0
166.63,8,2,/dev/ttyUSB0,206,False,False,2.39,False
288.16,1,1,/dev/ttyUSB0,101,True,PT100,111.42,29.35
289.67,1,2,/dev/ttyUSB0,102,False,False,1.63,False
291.17,2,1,/dev/ttyUSB0,103,True,PT100,111.28,28.99
292.68,2,2,/dev/ttyUSB0,104,False,False,2.71,False
294.19,3,1,/dev/ttyUSB0,105,False,False,1.67,False
295.69,3,2,/dev/ttyUSB0,106,True,PT100,111.39,29.27
297.19,4,1,/dev/ttyUSB0,107,True,PT100,110.76,27.64
298.7,4,2,/dev/ttyUSB0,108,False,False,2.94,False
300.2,5,1,/dev/ttyUSB0,109,True,PT100,110.99,28.24
301.71,5,2,/dev/ttyUSB0,110,False,False,1.42,False
303.21,6,1,/dev/ttyUSB0,201,True,PT100,111.03,28.34
304.71,6,2,/dev/ttyUSB0,202,False,False,2.11,False
306.22,7,1,/dev/ttyUSB0,203,True,PT100,111.4,29.3
307.72,7,2,/dev/ttyUSB0,204,False,False,1.57,False
309.23,8,1,/dev/ttyUSB0,205,True,PT100,111.45,29.42
310.73,8,2,/dev/ttyUSB0,206,False,False,2.41,False
432.25,1,1,/dev/ttyUSB0,101,True,PT100,115.62,40.21
433.75,1,2,/dev/ttyUSB0,102,False,False,1.66,False
435.26,2,1,/dev/ttyUSB0,103,True,PT100,115.35,39.51
436.76,2,2,/dev/ttyUSB0,104,False,False,2.74,False
438.27,3,1,/dev/ttyUSB0,105,False,False,1.7,False
439.77,3,2,/dev/ttyUSB0,106,True,PT100,115.3,39.38
441.27,4,1,/dev/ttyUSB0,107,True,PT100,114.53,37.38
442.78,4,2,/dev/ttyUSB0,108,False,False,2.97,False
444.28,5,1,/dev/ttyUSB0,109,True,PT100,114.85,38.21
445.83,5,2,/dev/ttyUSB0,110,False,False,1.45,False
447.33,6,1,/dev/ttyUSB0,201,True,PT100,114.91,38.37
448.84,6,2,/dev/ttyUSB0,202,False,False,2.14,False
450.35,7,1,/dev/ttyUSB0,203,True,PT100,115.4,39.64
451.85,7,2,/dev/ttyUSB0,204,False,False,1.6,False
453.36,8,1,/dev/ttyUSB0,205,True,PT100,115.56,40.05
454.86,8,2,/dev/ttyUSB0,206,False,False,2.45,False
576.38,1,1,/dev/ttyUSB0,101,True,PT100,119.97,51.49
577.89,1,2,/dev/ttyUSB0,102,False,False,1.68,False
579.4,2,1,/dev/ttyUSB0,103,True,PT100,119.55,50.4
580.9,2,2,/dev/ttyUSB0,104,False,False,2.78,False
582.4,3,1,/dev/ttyUSB0,105,False,False,1.73,False
583.91,3,2,/dev/ttyUSB0,106,True,PT100,119.47,50.19
585.41,4,1,/dev/ttyUSB0,107,True,PT100,118.72,48.24
586.91,4,2,/dev/ttyUSB0,108,False,False,3.01,False
588.42,5,1,/dev/ttyUSB0,109,True,PT100,119.05,49.1
589.92,5,2,/dev/ttyUSB0,110,False,False,1.47,False
591.43,6,1,/dev/ttyUSB0,201,True,PT100,119.14,49.33
592.93,6,2,/dev/ttyUSB0,202,False,False,2.17,False
594.44,7,1,/dev/ttyUSB0,203,True,PT100,119.66,50.68
595.94,7,2,/dev/ttyUSB0,204,False,False,1.63,False
597.44,8,1,/dev/ttyUSB0,205,True,PT100,119.91,51.33
598.95,8,2,/dev/ttyUSB0,206,False,False,2.48,False
720.47,1,1,/dev/ttyUSB0,101,True,PT100,122.6,58.33
721.98,1,2,/dev/ttyUSB0,102,False,False,1.7,False
723.5,2,1,/dev/ttyUSB0,103,True,PT100,122.08,56.97
725.0,2,2,/dev/ttyUSB0,104,False,False,2.8,False
726.51,3,1,/dev/ttyUSB0,105,False,False,1.74,False
728.01,3,2,/dev/ttyUSB0,106,True,PT100,121.92,56.56
729.52,4,1,/dev/ttyUSB0,107,True,PT100,121.56,55.62
731.02,4,2,/dev/ttyUSB0,108,False,False,3.03,False
732.52,5,1,/dev/ttyUSB0,109,True,PT100,121.7,55.99
734.03,5,2,/dev/ttyUSB0,110,False,False,1.49,False
735.53,6,1,/dev/ttyUSB0,201,True,PT100,121.84,56.35
737.03,6,2,/dev/ttyUSB0,202,False,False,2.19,False
738.54,7,1,/dev/ttyUSB0,203,True,PT100,122.11,57.05
740.04,7,2,/dev/ttyUSB0,204,False,False,1.65,False
741.55,8,1,/dev/ttyUSB0,205,True,PT100,122.43,57.89
743.05,8,2,/dev/ttyUSB0,206,False,False,2.5,False
864.58,1,1,/dev/ttyUSB0,101,True,PT100,123.23,59.97
866.08,1,2,/dev/ttyUSB0,102,False,False,1.71,False
867.59,2,1,/dev/ttyUSB0,103,True,PT100,122.9,59.11
869.09,2,2,/dev/ttyUSB0,104,False,False,2.81,False
870.6,3,1,/dev/ttyUSB0,105,False,False,1.75,False
872.1,3,2,/dev/ttyUSB0,106,True,PT100,122.72,58.64
873.6,4,1,/dev/ttyUSB0,107,True,PT100,122.71,58.61
875.11,4,2,/dev/ttyUSB0,108,False,False,3.04,False
876.62,5,1,/dev/ttyUSB0,109,True,PT100,122.67,58.51
878.12,5,2,/dev/ttyUSB0,110,False,False,1.5,False
879.63,6,1,/dev/ttyUSB0,201,True,PT100,122.81,58.88
881.13,6,2,/dev/ttyUSB0,202,False,False,2.19,False
882.64,7,1,/dev/ttyUSB0,203,True,PT100,122.89,59.08
884.15,7,2,/dev/ttyUSB0,204,False,False,1.65,False
885.65,8,1,/dev/ttyUSB0,205,True,PT100,123.2,59.89
887.15,8,2,/dev/ttyUSB0,206,False,False,2.51,False
1008.68,1,1,/dev/ttyUSB0,101,True,PT100,123.21,59.92
1010.19,1,2,/dev/ttyUSB0,102,False,False,1.71,False
1011.69,2,1,/dev/ttyUSB0,103,True,PT100,123.09,59.6
1013.19,2,2,/dev/ttyUSB0,104,False,False,2.81,False
1014.7,3,1,/dev/ttyUSB0,105,False,False,1.75,False
1016.2,3,2,/dev/ttyUSB0,106,True,PT100,122.93,59.19
1017.71,4,1,/dev/ttyUSB0,107,True,PT100,123.09,59.6
1019.21,4,2,/dev/ttyUSB0,108,False,False,3.05,False
1020.71,5,1,/dev/ttyUSB0,109,True,PT100,122.97,59.29
1022.22,5,2,/dev/ttyUSB0,110,False,False,1.5,False
1023.72,6,1,/dev/ttyUSB0,201,True,PT100,123.08,59.58
1025.23,6,2,/dev/ttyUSB0,202,False,False,2.2,False
1026.73,7,1,/dev/ttyUSB0,203,True,PT100,123.07,59.55
1028.24,7,2,/dev/ttyUSB0,204,False,False,1.65,False
